Stethoscope	ECG
-0.00793457	-0.0088501
-0.00579834	-0.00854492
0.0012207	-0.00854492
0.00671387	-0.0088501
0.0100708	-0.00946045
0.0170898	-0.00976563
0.020752	-0.0106812
0.00946045	-0.0109863
0	-0.0100708
0.00823975	-0.00823975
0.0204468	-0.00762939
0.020752	-0.00823975
-0.0012207	-0.0088501
-0.0341797	-0.00854492
-0.045166	-0.00823975
-0.043335	-0.00823975
-0.0415039	-0.0088501
-0.0289917	-0.00946045
-0.0167847	-0.00976563
-0.000305176	-0.0100708
0.0299072	-0.0100708
0.0485229	-0.010376
0.0515747	-0.00976563
0.0463867	-0.00854492
0.0317383	-0.00732422
0.0183105	-0.00640869
0.017395	-0.00640869
0.00305176	-0.00701904
-0.0149536	-0.00732422
-0.0210571	-0.00762939
-0.0393677	-0.00762939
-0.055542	-0.00762939
-0.0585938	-0.00762939
-0.0561523	-0.00823975
-0.0320435	-0.00854492
-0.00335693	-0.00823975
0.00946045	-0.00732422
0.0198364	-0.00640869
0.0289917	-0.00549316
0.0369263	-0.00457764
0.0515747	-0.00396729
0.0531006	-0.00305176
0.0354004	-0.00183105
0.0222778	-0.000915527
0.00274658	-0.000305176
-0.0195313	0
-0.0198364	0
-0.0265503	-0.000305176
-0.0357056	-0.000915527
-0.0256348	-0.00152588
-0.0161743	-0.00213623
-0.00701904	-0.00335693
-0.00152588	-0.00518799
-0.00732422	-0.00701904
-0.00946045	-0.00823975
0.000305176	-0.00823975
0.00671387	-0.00793457
0.00274658	-0.00732422
0.0109863	-0.00701904
0.0119019	-0.00671387
0.0149536	-0.00671387
0.0292969	-0.00640869
0.0216675	-0.00549316
0.0161743	-0.00488281
0.0186157	-0.00427246
0.00549316	-0.00335693
0.00579834	-0.00305176
0.00488281	-0.00366211
-0.0125122	-0.00457764
-0.0231934	-0.00549316
-0.0308228	-0.00579834
-0.03479	-0.00640869
-0.0378418	-0.00732422
-0.0405884	-0.00793457
-0.0411987	-0.00823975
-0.0222778	-0.00854492
0.00762939	-0.00793457
0.0259399	-0.00671387
0.0491333	-0.00579834
0.0689697	-0.00457764
0.0650024	-0.00396729
0.0515747	-0.00396729
